Date,V,TM,PG,PCRFY,INTC,KO,BRDCY,ABNB
26/05/2021,226.3623962,164.0200043,136.4111023,11.56999969,56.16194153,53.79217529,21.90999985,134.75
27/05/2021,226.1530304,165.5500031,133.3099518,11.47999954,56.96115494,54.24182892,21.86000061,143.1699982
28/05/2021,226.5916595,165.9799957,133.1815643,11.43000031,56.35927582,54.0463295,22.19000053,140.3999939
01/06/2021,225.9237518,172.3399963,131.2359314,11.46000004,56.13234329,54.03654861,21.85000038,144.3099976
02/06/2021,228.9443207,176.6300049,131.8087769,11.51000023,56.71448517,54.25159836,22.25,151
03/06/2021,227.3991394,179.6699982,134.1692047,11.42000008,55.49100113,54.38845444,22.65999985,144.1900024
04/06/2021,229.4228058,182.4100037,134.2679596,11.69999981,56.6059494,54.97496033,22.70999908,150.7299957
07/06/2021,230.5991364,180.8000031,134.732132,11.68999958,56.32967758,54.77945709,22.70999908,148.9700012
08/06/2021,231.3268585,179.6100006,133.1716766,11.61999989,56.24087906,54.39823151,22.51000023,147.0099945
09/06/2021,231.5860443,180.5399933,133.1222992,11.57999992,56.24087906,54.23205185,22.45999908,144.8500061
10/06/2021,233.220932,180.1799927,134.1099243,11.5,56.61581802,54.6523819,22.54000092,146.1199951
11/06/2021,234.2277985,181.4700012,133.1914368,11.38000011,57.07955551,54.89675522,22.45000076,148.4400024
14/06/2021,233.3505249,180.5899963,133.2408295,11.5,57.41502762,54.70963287,22.62000084,149.2100067
15/06/2021,232.253952,182.4499969,132.984024,11.44999981,57.21769333,54.57175064,22.62000084,151.7799988
16/06/2021,228.884491,183.8399963,131.1371765,11.38000011,56.45794678,53.8429451,23.01000023,149.1499939
17/06/2021,231.4265442,185.1999969,132.3321991,11.27000046,56.41847992,54.11870956,22.97999954,150.6999969
18/06/2021,229.6919708,177.0299988,130.3964386,11.10000038,54.92858887,52.95655823,22.63999939,152.5200043
21/06/2021,233.589798,178.8800049,131.423584,11.25,55.12592697,53.5376358,22.65999985,149.6999969
22/06/2021,235.1947632,179.3899994,131.4729614,11.34000015,55.12592697,53.73461151,23.17000008,149.6799927
23/06/2021,233.9486542,177.7100067,131.2853088,11.14999962,54.52404785,53.3012619,23.18000031,151.5800018
24/06/2021,235.5038147,177.6699982,131.3742065,11.39000034,55.32326508,53.56718063,23.19000053,150.7299957
25/06/2021,236.5804443,178.1000061,133.2507019,11.84000015,55.16539383,53.49824142,23.27000046,149.6699982
28/06/2021,233.3604889,177.0700073,133.645752,11.72999954,56.71448517,53.43914795,22.96999931,149.9400024
29/06/2021,235.2147064,176.7299957,132.7371368,11.72999954,55.99420929,53.04520035,22.85000038,146.0800018
30/06/2021,233.0913544,174.8399963,133.2605591,11.59000015,55.39233017,53.29141617,22.70000076,153.1399994
01/07/2021,234.4171906,175.4799957,133.5667267,11.56000042,55.26406097,53.14368439,22.70000076,153.0800018
02/07/2021,237.8863525,176.0299988,134.2185669,11.84000015,56.0040741,53.36035538,23.20000076,150.2299957
06/07/2021,238.8533478,174.9299927,134.2975769,11.75,55.3429985,53.06489563,22.98999977,148.3699951
07/07/2021,239.2520905,175.6499939,135.3049622,11.76000023,55.21472931,53.49824142,22.84000015,143.7200012
08/07/2021,235.8726501,174.2299957,135.285202,11.65999985,54.65231705,53.31111526,22.36000061,142.5299988
09/07/2021,237.7268524,177.7899933,135.3345795,12.01000023,55.24433136,53.63611984,22.94000053,149.6399994
12/07/2021,237.1287231,178.8999939,135.443222,12.10999966,55.97447205,53.65581894,22.55999947,146.6900024
13/07/2021,241.5947723,179.1799927,135.2753296,11.94999981,56.11260986,54.18765259,22.45999908,143.4100037
14/07/2021,245.2234344,180,136.2728271,11.97999954,55.76726913,55.40888977,21.70999908,139.0899963
15/07/2021,247.7754517,178.9299927,137.4382477,11.96000004,55.0667305,55.58616638,21.39999962,137.5
16/07/2021,247.3467865,178.1300049,138.7715302,11.94999981,54.23791122,55.54677582,21.23999977,134.3099976
19/07/2021,239.6608124,176.3000031,138.7024078,11.60999966,53.91230774,54.88690948,20.97999954,131.8800049
20/07/2021,241.9436798,178.1199951,137.9616852,11.84000015,54.50431824,54.98539734,21.5,136.0899963
21/07/2021,242.9006805,179.6799927,137.4777374,12.14999962,55.48113251,55.69450378,21.76000023,139.25
22/07/2021,243.3791809,177.9900055,136.9510193,12.11999989,55.21472931,55.61571503,21.76000023,139.4700012
23/07/2021,248.243988,179.8500061,138.9287415,12.21000004,52.29415131,56.14754105,21.87999916,138.7299957
26/07/2021,249.4701385,179.5,139.4157257,12.03999996,53.58670425,56.1967926,21.78000069,142
27/07/2021,250.1480255,178.4400024,139.9822235,11.92000008,52.47175217,56.39376068,21.64999962,141.5800018
28/07/2021,246.1704559,179.8699951,137.9050903,12.13000011,52.3632164,55.88162994,21.87999916,143.3000031
29/07/2021,247.1474152,181.4199982,138.6206512,12.68999958,52.98482895,56.18693924,21.77000046,143.4700012
