Date,Index,Value
2011-07-01,Pound,164.7513059
2011-08-01,Pound,161.2764025
2011-09-01,Pound,162.1962298
2011-10-01,Pound,105.4446337
2011-11-01,Pound,155.3032024
2011-12-01,Pound,153.1569385
2012-01-01,Pound,106.6780239
2012-02-01,Pound,149.6593232
2012-03-01,Pound,151.2605042
2012-04-01,Pound,109.1788756
2012-05-01,Pound,150.1930502
2012-06-01,Pound,141.0401999
2012-07-01,Pound,106.8415673
2012-08-01,Pound,139.6661367
2012-09-01,Pound,108.2725724
2012-10-01,Pound,146.4910288
2012-11-01,Pound,146.9111969
2012-12-01,Pound,109.7376491
2013-01-01,Pound,110.7666099
2013-02-01,Pound,155.4848967
2013-03-01,Pound,147.4903475
2013-04-01,Pound,146.0027254
2013-05-01,Pound,149.8069498
2013-06-01,Pound,104.592845
2013-07-01,Pound,148.3079718
2013-08-01,Pound,150.0908471
2013-09-01,Pound,105.9216354
2013-10-01,Pound,153.6906655
2013-11-01,Pound,153.1682943
2013-12-01,Pound,111.516184
2014-01-01,Pound,112.0340716
2014-02-01,Pound,111.120954
2014-03-01,Pound,113.8807496
2014-04-01,Pound,156.7567568
2014-05-01,Pound,157.4721781
2014-06-01,Pound,114.1805792
2014-07-01,Pound,155.3599818
2014-08-01,Pound,152.5777879
2014-09-01,Pound,112.4497445
2014-10-01,Pound,143.2886668
2014-11-01,Pound,108.9335605
2014-12-01,Pound,141.8351124
2015-01-01,Pound,104.6746167
2015-02-01,Pound,102.3986371
2015-03-01,Pound,104.7427598
2015-04-01,Pound,122.2802635
2015-05-01,Pound,127.1178742
2015-06-01,Pound,123.926868
2015-07-01,Pound,125.8687259
2015-08-01,Pound,106.3236797
2015-09-01,Pound,127.9014308
2015-10-01,Pound,127.1860095
2015-11-01,Pound,105.1311755
2015-12-01,Pound,120.5995912
2016-01-01,Pound,100.0749574
2016-02-01,Pound,123.6429707
2016-03-01,Pound,123.1773791
2016-04-01,Pound,129.2868499
2016-05-01,Pound,99.93867121
2016-06-01,Pound,126.7885533
2016-07-01,Pound,126.5614354
2016-08-01,Pound,126.9134681
2016-09-01,Pound,127.1178742
2016-10-01,Pound,87.49574106
2016-11-01,Pound,125.3917783
2016-12-01,Pound,120.7585737
2017-01-01,Pound,83.51618399
2017-02-01,Pound,122.1667045
2017-03-01,Pound,119.9636611
2017-04-01,Pound,85.03577513
2017-05-01,Pound,123.9155122
2017-06-01,Pound,127.3449921
2017-07-01,Pound,88.25212947
2017-08-01,Pound,133.9881899
2017-09-01,Pound,134.8853055
